category,family,n
线性规划,优化决策,41
层次分析法,统计评价,31
拟合模型,预测回归,22
遗传算法,优化决策,18
多元回归,预测回归,16
模糊综合评价,统计评价,16
相关系数,统计评价,16
微分方程,机理仿真,15
神经网络,机器学习,12
主成分分析,统计评价,12
聚类模型,统计评价,11
灰色预测,预测回归,10
方差分析,统计评价,8
蒙特卡洛Monte-Carlo模拟,机理仿真,8
插值,其他,7
模拟退火,优化决策,6
逻辑回归（logistic regression）,预测回归,6
图论floyd算法,优化决策,5
动态规划,优化决策,4
博弈论,优化决策,4
灰色关联分析,统计评价,4
排队论,优化决策,4
蚁群算法,优化决策,4
优劣解距离法（TOPSIS）,优化决策,4
元胞自动机,机理仿真,4
因子分析,统计评价,4
图论Dijkstra模型,优化决策,3
马尔科夫Markov Model,机理仿真,3
逐步回归,预测回归,3
典型相关分析,统计评价,2
粒子群算法,优化决策,2
时间序列ARMA,预测回归,2
小波分析,机理仿真,2
决策树,机器学习,1
投影寻踪综合评价法,统计评价,1
支持向量机,机器学习,1
