claim_id,question_id,section_id,claim_text,claim_type,evidence_type,evidence_id,result_id,figure_id,formula_id,citation_id,support_grade,boundary_condition,risk_note,status,owner,last_checked
C001,Q1,Q1 结果,"在题面给定的固定策略下，M1 的有效遮蔽区间为 [8.056309, 9.418510] s，时长为 1.362201500 s。",result_interpretation,figure,F002,RES-Q1-PRIMARY_DURATION_M1,F002,,,strong,仅为固定策略计算结果，不宣称最优。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C002,Q2,Q1–Q2 结果比较,Q2 冻结方案的 M1 有效遮蔽时长为 2.238164377 s，较 Q1 增加 0.875962877 s；不据此声明全局最优。,result_interpretation,figure,F003,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1,F003,,,strong,比较限于冻结模型和已登记参数。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C003,Q3,Q3 结果与局限,Q3 的三弹并集为 2.238164377 s；第 2、3 枚弹的有效时长均为 0，未观察到额外多弹收益。,result_interpretation,figure,F004,RES-Q3-PRIMARY_DURATION_M1,F004,,,strong,零贡献行必须保留，不得推断潜在协同。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C004,Q4,Q4 结果与局限,Q4 的三机并集为 2.238164377 s；FY2、FY3 的有效时长均为 0，未观察到额外多机收益。,result_interpretation,figure,F005,RES-Q4-PRIMARY_DURATION_M1,F005,,,strong,参与投放不等同于形成正有效遮蔽。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C005,Q5,Q5 任务分配,Q5 冻结方案使用 FY1-b1→M1、FY2-b1→M2、FY5-b1→M3 三项分配，其余弹位未使用。,result_interpretation,figure,F006,RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3,F006,,,strong,每项仅服务登记的主目标。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C006,Q1-Q5,结果核验,在已检验的三个随机种子下，冻结主指标跨运行跨度为 0。,result_interpretation,figure,F011,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3,F011,,,strong,仅适用于已检验种子，不等同于普遍随机稳定性。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C007,Q1-Q5,敏感性分析,A03（不继承水平速度）下已复算的冻结主指标均为 0，说明该口径对结果具有决定性影响。,result_interpretation,figure,F011,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3,F011,,,strong,这是特定替代口径的复算，非原模型的数值。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C008,Q1-Q5,敏感性分析,A07（烟幕到地面后停留）在当前已检验方案中未改变各冻结有效区间。,result_interpretation,figure,F011,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3,F011,,,strong,仅限当前冻结方案与复算情景。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C009,Q1-Q5,敏感性分析,A08 的 80% 覆盖半径会改变不同目标的有效遮蔽时长，变化幅度随目标而异。,result_interpretation,figure,F010,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3,F010,,,strong,仅描述已检验的 A08 半径变化。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
C010,Q5,敏感性分析,Q5 在公平优先目标下改变 M2、M3 的无人机分配，且总时长与最短时长随目标优先级变化。,result_interpretation,figure,F011,RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3;RES-Q5-OBJECTIVE_TOTAL_DURATION;RES-Q5-OBJECTIVE_MINIMUM_DURATION,F011,,,strong,替代方案用于敏感性说明，正式结论仍以冻结主方案为准。,以冻结包 RF-20260722T114756Z 与已登记复算情景为限。,ready,Codex,2026-07-22T12:44:07+00:00
