id,severity,category,status,blocks_promotion,issue,evidence,recommended_fix
API-001,critical,runner/stage_scope,open,yes,"API 代理没有执行完整训练沙盒，只执行 current_stage=intake。","run_manifest.yaml initial/iteration logs show stage=intake; workspace/workflow_state.yaml keeps later stages locked.","Add a full-agent API execution mode for training_sandbox instead of routing through the current formal workflow stage."
API-002,critical,input_control,open,yes,"题面漂移：颜色/浓度识别题被写成 2022 C 古代玻璃题。","workspace/00_problem/inbox/text_only_color_concentration_problem.md differs from workspace/00_problem/problem_statement.md.","Add problem source lock and fail/retry when title, variables, or sample table no longer match the selected problem."
API-003,critical,output_protocol,open,yes,"deep 迭代未输出 runner 可执行的 JSON file actions。","deepseek_file_actions.json action_count=0; iteration 2/3 logs show file_actions=[].","Require top-level JSON-only responses and retry/fail on prose or unsupported action formats."
API-004,major,tool_contract,open,yes,"模型输出伪工具标签，但 runner 不执行这些工具。","deepseek_response.md contains read/list style pseudo-tool intent while file_actions stay empty.","Either prohibit pseudo tools or implement a safe read/list tool protocol with returned observations."
API-005,critical,iteration_loop,open,yes,"open fail/major queue 连续两轮无改善。","run_manifest.yaml shows blocking_queue_before=4 and after=4 for iterations 2 and 3; stop reason same_blocking_gap_not_improving.","Treat repeated non-improvement as runner/prompt/reviewer failure, not as a reason to add more iterations."
API-006,critical,validation_queue,open,yes,"仍有 4 个阻塞 queue 项。","reports/agent_revision_queue.csv lists 3 major and 1 fail open tasks.","Fix contract_binding first, then structure, figure_density, and validation completeness."
API-007,critical,contracts,open,yes,"result, claim, figure contracts have no rows.","reports/agent_run_validation.md reports empty result_contract.csv, claim_evidence_map.csv, and figure_contract.csv.","Require minimum contract rows before draft/result/figure claims are considered valid."
API-008,critical,deliverables,open,yes,"缺少 final_submit_paper.md。","reports/agent_run_validation.md reports workspace/12_submission/final_submit_paper.md missing or empty.","Require final_submit_paper.md only after contracts and paper checks pass."
API-009,major,workflow_feedback,open,yes,"缺少 training_enhancement_points.csv 和 .md。","reports/agent_run_validation.md reports both enhancement outputs missing.","Generate enhancement candidates only for validated runs; otherwise generate issue-only reports."
API-010,major,gates,open,yes,"缺少 simulated human gate log。","reports/agent_run_validation.md reports expected simulated logs got 0.","Write simulated gate records for major sandbox stages."
API-011,major,benchmark_quality,open,yes,"结构、图表、验证、公式、合同绑定质量缺口仍存在。","reports/full_gap_report.md and reports/agent_revision_queue.csv.","Make reviewer tasks executable and require figure/contract repairs to be written as file actions."
API-012,major,validator_strength,open,yes,"validate_contracts.py 对训练/终稿场景过宽，空合同仍可能通过。","validate_agent_run.md reports 11 fails while contract validation only warned/passed.","Tighten final/training contract validation for required rows and binding checks."
API-013,major,benchmark_routing,open,yes,"benchmark routing 受题面漂移和极短 draft 影响。","reports/full_gap_report.md benchmark comparison no longer matches the selected color/concentration problem.","Bind benchmark source selection to problem fingerprint and stop benchmark when problem drift is detected."
API-014,major,observability,open,no,"DeepSeek per-call artifacts are overwritten by later iterations。","deepseek_response.md, deepseek_route.json, deepseek_request_manifest.json, and deepseek_file_actions.json show latest call only.","Write per-iteration artifacts while keeping latest aliases."
API-015,major,encoding,open,maybe,"中文内容出现 mojibake。","workspace/00_problem/*.md shell reads show garbled text.","Enforce UTF-8 read/write and add encoding sanity checks."
API-016,minor,environment,open,no,"pytest 不可用且安装失败。","python -m pytest failed with No module named pytest; pip install failed due proxy/network.","Preinstall pytest or add unittest fallback."
API-017,minor,environment,open,no,"PowerShell profile noise pollutes command output。","thefuck alias Invoke-Expression error appears in shell output.","Use no-profile shell for agent commands or repair local profile."
API-018,major,data_governance,open,no,"DeepSeek API 运行需要明确外发授权。","User explicitly approved sending problem, prompt, and project context; previous escalation was blocked.","Record external API consent in the run manifest with scope and timestamp."
