suggestion_id,target_file,target_area,suggestion_type,suggestion,confidence,auto_apply
SUG-统计评价,05_model/model_family_weight_config.csv,统计评价,review_weight,Review section weights for 统计评价; local corpus has 105 samples.,high,false
SUG-FIG-统计评价,08_figures/model_chart_priority_matrix.csv,统计评价,figure_priority_review,Keep or review priority figures: 指标体系层级图; 权重热力图; 综合得分矩阵图; 平行坐标/雷达图; 排序坡度图,high,false
SUG-RISK-统计评价,prompts/stages/11_auto_review.md,统计评价,review_risk_prompt,Reviewer should check: indicator meaning unclear; weight source weak; ranking interpretation unsupported,high,false
SUG-优化决策,05_model/model_family_weight_config.csv,优化决策,review_weight,Review section weights for 优化决策; local corpus has 95 samples.,high,false
SUG-FIG-优化决策,08_figures/model_chart_priority_matrix.csv,优化决策,figure_priority_review,Keep or review priority figures: 目标约束结构图; 可行域/路径规划图; Pareto前沿图; 调度甘特图; 敏感性热力图,high,false
SUG-RISK-优化决策,prompts/stages/11_auto_review.md,优化决策,review_risk_prompt,Reviewer should check: constraints not traceable; objective and result table disconnected; sensitivity analysis missing,high,false
SUG-预测回归,05_model/model_family_weight_config.csv,预测回归,review_weight,Review section weights for 预测回归; local corpus has 59 samples.,high,false
SUG-FIG-预测回归,08_figures/model_chart_priority_matrix.csv,预测回归,figure_priority_review,Keep or review priority figures: 变量关系热力图; 趋势分解图; 预测区间图; 残差诊断组图; 误差分布/QQ图,high,false
SUG-RISK-预测回归,prompts/stages/11_auto_review.md,预测回归,review_risk_prompt,Reviewer should check: residual diagnostics missing; prediction interval missing; extrapolation boundary unclear,high,false
SUG-机理仿真,05_model/model_family_weight_config.csv,机理仿真,review_weight,Review section weights for 机理仿真; local corpus has 32 samples.,high,false
SUG-FIG-机理仿真,08_figures/model_chart_priority_matrix.csv,机理仿真,figure_priority_review,Keep or review priority figures: 机制示意图; 状态转移图; 仿真轨迹图; 参数敏感性曲面; 情景对比图,high,false
SUG-RISK-机理仿真,prompts/stages/11_auto_review.md,机理仿真,review_risk_prompt,Reviewer should check: assumptions not linked to mechanism; parameters lack source; scenario validation weak,high,false
SUG-机器学习,05_model/model_family_weight_config.csv,机器学习,review_weight,Review section weights for 机器学习; local corpus has 14 samples.,high,false
SUG-FIG-机器学习,08_figures/model_chart_priority_matrix.csv,机器学习,figure_priority_review,Keep or review priority figures: 模型结构图; 特征重要性图; 混淆矩阵; ROC/PR曲线; 消融实验图,high,false
SUG-RISK-机器学习,prompts/stages/11_auto_review.md,机器学习,review_risk_prompt,Reviewer should check: train/test split unclear; only accuracy reported; interpretability or ablation missing,high,false
SUG-其他,05_model/model_family_weight_config.csv,其他,review_weight,Review section weights for 其他; local corpus has 7 samples.,medium,false
SUG-RISK-其他,prompts/stages/11_auto_review.md,其他,review_risk_prompt,Reviewer should check: evidence chain weak; validation section underdeveloped,medium,false
